facture_id;client_id;date_emission;date_echeance;montant_ht;tva_pct;montant_ttc;statut
FAC-2026-0001;CL-216;05/03/2026;04/04/2026;1049.66;20;1259.59;EMISE
FAC-2026-0002;CL-234;15/04/2026;30/05/2026;940.46;20;1128.55;EMISE
FAC-2026-0003;CL-218;18/04/2026;18/05/2026;707.20;20;848.64;EMISE
FAC-2026-0004;CL-229;06/03/2026;05/04/2026;2347.59;20;2817.11;EMISE
FAC-2026-0005;CL-206;20/05/2026;19/06/2026;327.22;20;392.66;EMISE
FAC-2026-0006;CL-222;22/05/2026;21/06/2026;1248.02;20;1497.63;EMISE
FAC-2026-0007;CL-231;26/03/2026;25/04/2026;912.50;20;1095.00;EMISE
FAC-2026-0008;CL-208;29/04/2026;13/06/2026;1973.17;20;2367.81;EMISE
FAC-2026-0009;CL-212;23/04/2026;23/05/2026;1989.71;20;2387.65;EMISE
FAC-2026-0010;CL-226;19/04/2026;19/05/2026;1051.36;20;1261.63;EMISE
FAC-2026-0011;CL-211;01/06/2026;31/07/2026;146.67;20;176.00;EMISE
FAC-2026-0012;CL-242;30/05/2026;31/07/2026;1560.01;20;1872.01;EMISE
FAC-2026-0013;CL-223;29/05/2026;28/06/2026;1407.76;20;1689.31;EMISE
FAC-2026-0014;CL-201;07/03/2026;06/04/2026;2429.55;20;2915.47;EMISE
FAC-2026-0015;CL-234;14/03/2026;28/04/2026;2339.37;20;2807.25;EMISE
FAC-2026-0016;CL-214;14/06/2026;29/07/2026;689.44;20;827.33;EMISE
FAC-2026-0017;CL-238;07/05/2026;06/06/2026;707.66;20;849.20;EMISE
FAC-2026-0018;CL-204;15/03/2026;14/04/2026;936.16;20;1123.39;EMISE
FAC-2026-0019;CL-233;01/06/2026;01/07/2026;1367.02;20;1640.42;EMISE
FAC-2026-0020;CL-229;10/03/2026;09/04/2026;523.12;20;627.75;EMISE
FAC-2026-0021;CL-212;30/05/2026;29/06/2026;1225.85;20;1471.02;EMISE
FAC-2026-0022;CL-221;22/03/2026;21/04/2026;1334.40;20;1601.28;EMISE
FAC-2026-0023;CL-207;07/04/2026;22/05/2026;217.51;20;261.01;EMISE
FAC-2026-0024;CL-203;11/03/2026;10/04/2026;316.54;20;379.85;EMISE
FAC-2026-0025;CL-205;22/04/2026;30/06/2026;867.99;20;1041.58;EMISE
FAC-2026-0026;CL-218;21/04/2026;21/05/2026;1309.74;20;1571.69;EMISE
FAC-2026-0027;CL-234;15/05/2026;29/06/2026;2313.14;20;2775.77;EMISE
FAC-2026-0028;CL-209;25/04/2026;09/06/2026;374.33;20;449.19;EMISE
FAC-2026-0029;CL-205;24/03/2026;31/05/2026;662.35;20;794.81;EMISE
FAC-2026-0030;CL-220;09/03/2026;31/05/2026;376.09;20;451.30;EMISE
FAC-2026-0031;CL-210;16/05/2026;30/06/2026;2216.46;20;2659.75;EMISE
FAC-2026-0032;CL-207;28/04/2026;12/06/2026;2221.54;20;2665.85;EMISE
FAC-2026-0033;CL-211;19/03/2026;31/05/2026;1124.28;20;1349.14;EMISE
FAC-2026-0034;CL-222;25/04/2026;25/05/2026;553.70;20;664.44;EMISE
FAC-2026-0035;CL-224;15/06/2026;15/07/2026;897.91;20;1077.49;EMISE
FAC-2026-0036;CL-202;29/04/2026;29/05/2026;882.22;20;1058.67;EMISE
FAC-2026-0037;CL-233;09/06/2026;09/07/2026;353.10;20;423.72;EMISE
FAC-2026-0038;CL-206;15/05/2026;14/06/2026;738.05;20;885.66;EMISE
FAC-2026-0039;CL-209;05/03/2026;19/04/2026;1101.86;20;1322.23;EMISE
FAC-2026-0040;CL-226;29/05/2026;28/06/2026;1378.57;20;1654.28;EMISE
FAC-2026-0041;CL-221;06/06/2026;06/07/2026;755.33;20;906.40;EMISE
FAC-2026-0042;CL-205;14/05/2026;31/07/2026;2350.81;20;2820.97;EMISE
FAC-2026-0043;CL-217;07/06/2026;07/07/2026;1551.79;20;1862.15;EMISE
FAC-2026-0044;CL-217;27/02/2026;29/03/2026;374.46;20;449.35;EMISE
FAC-2026-0045;CL-236;25/04/2026;25/05/2026;2322.54;20;2787.05;EMISE
FAC-2026-0046;CL-203;11/04/2026;11/05/2026;1797.08;20;2156.49;EMISE
FAC-2026-0047;CL-217;11/06/2026;11/07/2026;518.37;20;622.05;EMISE
FAC-2026-0048;CL-234;12/03/2026;26/04/2026;578.21;20;693.85;EMISE
FAC-2026-0049;CL-218;04/05/2026;03/06/2026;2024.90;20;2429.88;EMISE
FAC-2026-0050;CL-201;15/06/2026;15/07/2026;1854.05;20;2224.87;EMISE
FAC-2026-0051;CL-233;18/04/2026;18/05/2026;674.54;20;809.45;EMISE
FAC-2026-0052;CL-242;23/04/2026;30/06/2026;1668.75;20;2002.50;EMISE
FAC-2026-0053;CL-233;09/05/2026;08/06/2026;1744.34;20;2093.20;EMISE
FAC-2026-0054;CL-213;03/03/2026;02/04/2026;2214.27;20;2657.12;EMISE
